"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","cilium movement","79/1652","239/16481",0.330543933054393,3.29763593260863,11.942303511535,1.01395767225714e-22,5.08296981102505e-19,5.08296981102505e-19,"1768/83894/220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/25876/126820/361/399949/152110/55130/202500/150483/246176/284076/286464/127003/9576/154313/90506/348807/146845/27156/115948/440585/154865/642987/93190/57119/139212/79819/219681/345895/196385/54777/158787/221421/54768/83853/89876/1770/389799/79645/255411/135138/159686/80217/134121/387885/201625/83538/57639/257062/83659/64446/123872/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",79
"GO:0060294","cilium movement involved in cell motility","67/1652","212/16481",0.316037735849057,3.15291641920599,10.5303392634195,2.71429102670401e-18,5.90972860843807e-15,5.90972860843807e-15,"1768/220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/126820/399949/55130/202500/150483/246176/284076/286464/127003/154313/90506/146845/27156/115948/440585/154865/642987/93190/57119/139212/219681/345895/196385/54777/158787/221421/83853/1770/389799/79645/255411/135138/159686/80217/134121/201625/83538/57639/257062/83659/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",67
"GO:0001539","cilium or flagellum-dependent cell motility","67/1652","214/16481",0.313084112149533,3.12344991061528,10.4357307860353,4.7155225281772e-18,5.90972860843807e-15,5.90972860843807e-15,"1768/220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/126820/399949/55130/202500/150483/246176/284076/286464/127003/154313/90506/146845/27156/115948/440585/154865/642987/93190/57119/139212/219681/345895/196385/54777/158787/221421/83853/1770/389799/79645/255411/135138/159686/80217/134121/201625/83538/57639/257062/83659/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",67
"GO:0060285","cilium-dependent cell motility","67/1652","214/16481",0.313084112149533,3.12344991061528,10.4357307860353,4.7155225281772e-18,5.90972860843807e-15,5.90972860843807e-15,"1768/220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/126820/399949/55130/202500/150483/246176/284076/286464/127003/154313/90506/146845/27156/115948/440585/154865/642987/93190/57119/139212/219681/345895/196385/54777/158787/221421/83853/1770/389799/79645/255411/135138/159686/80217/134121/201625/83538/57639/257062/83659/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",67
"GO:0030317","flagellated sperm motility","59/1652","195/16481",0.302564102564103,3.01849816849817,9.46381283544113,2.67391542555194e-15,2.23405633804864e-12,2.23405633804864e-12,"220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/399949/55130/202500/150483/286464/127003/154313/90506/146845/27156/115948/440585/154865/642987/93190/57119/139212/219681/158787/221421/83853/389799/79645/255411/135138/159686/80217/134121/201625/83538/57639/257062/83659/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",59
"GO:0097722","sperm motility","59/1652","195/16481",0.302564102564103,3.01849816849817,9.46381283544113,2.67391542555194e-15,2.23405633804864e-12,2.23405633804864e-12,"220004/129881/219670/161502/151651/83450/7846/93233/255101/85478/27285/92749/89765/57821/64518/399949/55130/202500/150483/286464/127003/154313/90506/146845/27156/115948/440585/154865/642987/93190/57119/139212/219681/158787/221421/83853/389799/79645/255411/135138/159686/80217/134121/201625/83538/57639/257062/83659/25790/388701/79781/5414/26074/84229/220136/27019/143241/26206/84688",59
"GO:0008015","blood circulation","101/1652","453/16481",0.222958057395143,2.22431703627685,8.81923711839988,5.56290193956758e-15,3.98383248900747e-12,3.98383248900747e-12,"84502/857/5138/6387/1215/3777/177/354/9839/3762/6505/7136/10979/1359/1910/4018/55800/148/5028/8862/1003/7122/7010/3741/10659/6445/6446/2702/30820/10242/5770/6340/6330/5175/6532/10365/1636/6456/3764/9365/94/2852/8850/6909/1392/5468/6547/477/9732/10266/4634/5137/5919/284/6327/4092/186/1674/7134/6332/710/57158/4883/4973/1511/859/2697/6323/146/153/5023/1906/4881/9353/9590/554/3043/5592/1908/2828/7042/3753/2627/2022/2549/659/9607/6915/1129/185/4311/84034/845/154/6910/79987/27129/5348/482/63895/4842",101
"GO:0035082","axoneme assembly","37/1652","90/16481",0.411111111111111,4.10140570352435,9.84701962313796,9.31546284111343e-15,5.83730190281270e-12,5.83730190281270e-12,"6101/164781/93233/255101/85478/92749/89765/25876/126820/399949/55130/146562/286464/154313/352909/348807/51364/115948/139212/79819/345895/54777/221421/54768/89876/79645/159686/80217/387885/201625/83538/57639/64446/123872/85452/84229/27019",37
"GO:1901342","regulation of vasculature development","74/1652","295/16481",0.250847457627119,2.50255263265892,8.69157788676506,5.10986677642408e-14,2.84619579446821e-11,2.84619579446821e-11,"10218/9314/2247/3202/6387/1215/947/1285/354/1634/2624/577/126393/240/57556/57381/729/2658/1003/90139/406913/7122/7010/820/3373/23328/3687/147372/8742/10365/358/8434/2013/153090/5468/5196/10266/187/7128/9510/306/168667/9444/28984/3569/9037/26051/407006/2113/22846/5740/641700/4881/57608/5797/1536/23554/7042/2627/9022/2549/51378/6915/84034/3848/3553/407007/6237/10516/3552/6369/7075/728/948",74
"GO:0001578","microtubule bundle formation","42/1652","119/16481",0.352941176470588,3.52107961828799,9.21233114122599,8.17510471174375e-14,4.09817999199714e-11,4.09817999199714e-11,"6101/164781/93233/255101/85478/92749/89765/25876/126820/11076/399949/55130/246176/146562/284076/286464/154313/352909/348807/51364/115948/139212/79819/51673/345895/344148/54777/221421/54768/89876/79645/159686/80217/387885/201625/83538/57639/64446/123872/85452/84229/27019",42
"GO:0045765","regulation of angiogenesis","72/1652","288/16481",0.25,2.494098062954,8.53767033190704,1.35140742215535e-13,6.15873218842253e-11,6.15873218842253e-11,"9314/2247/3202/1215/947/1285/354/1634/2624/577/126393/240/57556/57381/729/2658/1003/90139/406913/7122/7010/820/3373/23328/3687/147372/8742/10365/358/8434/2013/153090/5468/5196/10266/187/7128/9510/306/168667/9444/28984/3569/9037/26051/407006/2113/22846/5740/641700/4881/57608/5797/1536/23554/7042/2627/9022/2549/51378/6915/84034/3848/3553/407007/6237/10516/3552/6369/7075/728/948",72
"GO:0050878","regulation of body fluid levels","76/1652","317/16481",0.239747634069401,2.39181643892118,8.35150728920864,2.90694456184807e-13,1.21437609071203e-10,1.21437609071203e-10,"144165/10218/84959/857/80274/2815/2192/2623/51032/2157/7056/1910/7432/2160/653145/5028/8862/10630/64805/6583/361/375033/2207/6340/8692/1036/5627/2066/6532/5588/9002/358/80739/5155/5196/2159/187/7450/22915/284/83706/1128/1080/139189/3569/7099/114/710/51763/4883/2776/1511/9068/1906/10398/4881/84830/2313/115/554/3043/81027/5592/1361/51378/6915/84034/79057/196883/3848/79987/6403/2255/558/7466/948",76
"GO:0050673","epithelial cell proliferation","74/1652","307/16481",0.241042345276873,2.40473298577975,8.2924324323855,4.494038964018e-13,1.73297056358633e-10,1.73297056358633e-10,"857/2247/7538/6387/947/1285/1960/1028/3851/9839/2624/79812/1910/240/387837/51208/2658/8862/406913/7010/1601/695/84913/8013/60675/8742/2066/2324/94/151306/1012/153090/5155/6909/348807/5468/2263/7476/255324/187/7128/26471/3164/168667/28984/3569/9037/858/26051/22846/3727/6347/687/54959/57608/5797/7051/3549/7042/7049/2627/2022/4163/659/9607/185/64332/1030/120425/407007/6369/7075/2255/728",74
"GO:0006935","chemotaxis","90/1652","415/16481",0.216867469879518,2.16355494617696,8.01280836568598,9.38021792995947e-13,3.13486883219246e-10,3.13486883219246e-10,"51554/3084/683/2247/6362/6387/83700/1960/23604/10718/6092/2277/1910/240/57556/4739/146433/3579/6376/146225/6283/64805/60675/2921/9034/116173/2357/3730/6693/1843/223117/5588/5168/6360/5473/1012/6688/5155/1524/3071/5196/9732/2621/5919/4858/284/23767/5319/3164/2920/4916/3569/56920/1901/9037/7869/3577/1511/6275/6347/641700/11251/1906/58191/9353/1948/1908/7042/2022/2549/6586/659/335/185/9647/6358/120425/3491/6368/1839/1669/80031/100130520/6369/6441/2255/10584/728/2358/5800",90
