"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903046","meiotic cell cycle process","81/3310","180/16481",0.45,2.24061933534743,8.38978632197916,2.81999998391134e-14,8.65436922673454e-11,8.65436922673454e-11,"79173/84501/245711/4880/7283/84072/79703/63979/54514/9088/56159/995/197342/25788/25879/91646/283129/2177/136991/81626/644186/10388/151246/4603/138474/9232/10635/158401/140801/54888/57082/9918/2069/150280/1761/388553/675/146956/8438/284071/83990/11077/400629/166863/10403/83540/993/4439/285498/346673/100130958/11022/84944/7153/9633/151648/317761/676/9700/10734/23397/3619/220134/5888/221150/10609/283677/26255/254528/54456/11130/7272/9319/286151/991/84057/347688/126549/56154/6790/56979",81
"GO:0007606","sensory perception of chemical stimulus","71/3310","149/16481",0.476510067114094,2.3726170441412,8.43734993449498,3.17999971586792e-14,8.65436922673454e-11,8.65436922673454e-11,"5726/26539/81285/9288/119395/8989/1259/26534/50831/341152/338440/29991/26219/26212/259294/1258/259296/130075/1469/23538/390445/563/387815/51764/1470/8590/259293/347168/144125/338755/283159/29989/100507003/79339/390064/392309/765/7932/442197/50838/259295/390083/341276/158131/81406/390059/390037/121275/259289/390441/81193/41/338398/143503/219432/4025/3933/282763/338396/346562/2779/4975/83756/390077/390275/259292/1472/26659/4992/6339/259291",71
"GO:0019730","antimicrobial humoral response","76/3310","167/16481",0.455089820359281,2.26596233514843,8.24293769203,8.49995736435639e-14,1.20017329974512e-10,1.20017329974512e-10,"57817/8340/2147/8341/8970/51297/4922/6363/11005/1672/28912/140686/3605/114771/8346/6278/8349/56477/10406/6364/8342/5645/3495/26525/3503/8347/4057/85236/3018/4879/10407/3017/280664/7018/8339/164237/9547/440689/6280/84659/4283/3273/2244/3827/259239/8343/3502/10563/796/1673/3501/5646/2243/1670/2597/3507/3494/6700/10344/57115/3493/3853/6372/8344/6346/3497/8345/6370/5967/81623/337874/8348/3500/5266/54145/6354",76
"GO:0006334","nucleosome assembly","53/3310","98/16481",0.540816326530612,2.69280781799125,8.42572351660204,8.81993973724137e-14,1.20017329974512e-10,1.20017329974512e-10,"3024/8340/8341/8970/255626/8356/8290/29028/6662/8361/8346/8349/8342/8368/388951/8347/3018/3014/126961/8339/3008/8366/121504/8354/8350/10036/8355/8343/8294/3010/55723/8353/8208/8360/3005/8367/8358/8968/8365/3006/8370/3009/8344/8364/8362/554313/8345/8357/8352/8363/8359/3007/653604",53
"GO:0050906","detection of stimulus involved in sensory perception","74/3310","163/16481",0.45398773006135,2.26047485774656,8.10732813352459,2.09648418658735e-13,2.28223268551899e-10,2.28223268551899e-10,"5726/26539/2898/81285/5475/8989/3776/222662/4923/26534/50831/3673/341152/26219/59335/346007/1301/26212/3249/1258/259296/130075/1469/23538/390445/563/387815/1470/8590/134/259293/347168/144125/338755/7287/283159/79339/390064/392309/765/7932/442197/50838/259295/390083/341276/158131/81406/7442/390059/117531/390037/121275/259289/390441/81193/255061/143503/6121/219432/4025/282763/338396/346562/2779/83756/390077/2047/390275/259292/1472/26659/92840/4992",74
"GO:0061644","protein localization to CENP-A containing chromatin","18/3310","18/16481",1,4.97915407854985,8.46751052477019,2.72347173588774e-13,2.47064277640616e-10,2.47064277640616e-10,"8970/8335/3012/8361/8368/8366/121504/1058/8294/8360/8367/8365/8370/8364/8362/554313/8363/8359",18
"GO:0140013","meiotic nuclear division","71/3310","155/16481",0.458064516129032,2.28077380372283,8.03122170361956,3.72924007038682e-13,2.8997505290165e-10,2.8997505290165e-10,"79173/84501/245711/84072/79703/63979/54514/56159/197342/25788/25879/91646/283129/2177/136991/81626/644186/10388/151246/4603/138474/9232/10635/158401/140801/57082/2069/150280/1761/388553/675/146956/8438/284071/83990/11077/400629/166863/10403/83540/4439/285498/346673/100130958/11022/84944/7153/9633/151648/317761/676/9700/10734/23397/3619/220134/5888/221150/10609/26255/254528/54456/11130/7272/9319/286151/84057/347688/126549/56154/56979",71
"GO:0019731","antibacterial humoral response","45/3310","79/16481",0.569620253164557,2.8362270067689,8.20114967687429,5.50368081180218e-13,3.74456683232991e-10,3.74456683232991e-10,"8340/8341/8970/51297/11005/1672/28912/140686/8346/8349/10406/8342/3495/3503/8347/4057/85236/3018/3017/280664/7018/8339/164237/440689/84659/2244/259239/8343/3502/796/3501/2243/1670/3507/3494/6700/3493/8344/3497/8345/337874/8348/3500/5266/54145",45
"GO:0016064","immunoglobulin mediated immune response","71/3310","157/16481",0.452229299363057,2.25171936036331,7.89999339831637,8.10562802744382e-13,4.41993340477545e-10,4.41993340477545e-10,"28468/102723170/28426/28452/28408/733/102723169/3543/28442/7784/28466/28445/28414/100423062/28467/28394/28444/57289/3495/725/28409/55061/3503/28447/28395/1380/939/28450/28834/28458/28410/28424/28449/28392/28457/3538/28385/28412/28448/28400/28429/930/102723168/3502/10538/28464/3501/28401/28432/7292/3494/28423/28388/3514/28473/3493/28461/3539/3542/28439/59067/3497/28343/28434/28378/28391/3329/3500/28455/28420/28454",71
"GO:0050907","detection of chemical stimulus involved in sensory perception","55/3310","108/16481",0.509259259259259,2.53568031778002,8.02660313991673,8.12039942086249e-13,4.41993340477545e-10,4.41993340477545e-10,"5726/26539/81285/8989/26534/50831/341152/26219/26212/1258/259296/130075/1469/23538/390445/563/387815/1470/8590/259293/347168/144125/338755/283159/79339/390064/392309/765/7932/442197/50838/259295/390083/341276/158131/81406/390059/390037/121275/259289/390441/81193/143503/219432/4025/282763/338396/2779/83756/390077/390275/259292/1472/26659/4992",55
